molecule,smiles,max_abs,max_em,solvent,dc,etn
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,620.0,DMSO,46.826,0.444
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,565.0,H2O,78.3553,1.0
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,575.0,AcOEt,6.02,0.228
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,615.0,DCM,8.93,0.309
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,615.0,ACN,35.688,0.46
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,600.0,TOL,2.3741,0.099
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,570.0,EtOH,24.852,0.654
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,450.0,595.0,CFM,4.81,0.259
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,610.0,MeOH,32.613,0.762
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,610.0,DMF,36.7,0.386
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,445.0,533.0,CHX,2.02,0.006
BTD-QN,c4cnc3c(Nc1cccc2nsnc12)cccc3c4,440.0,533.0,HEX,1.88,0.009
BTDImH,s1nc2c(ccc(n3cc[nH+]c3)c2n1)n4cc[nH+]c4,376.0,526.0,DMSO,46.826,0.444
BTDImH,s1nc2c(ccc(n3cc[nH+]c3)c2n1)n4cc[nH+]c4,382.0,501.0,DMF,36.7,0.386
BTDImH,s1nc2c(ccc(n3cc[nH+]c3)c2n1)n4cc[nH+]c4,348.0,453.0,H2O,78.3553,1.0
BTDImH,s1nc2c(ccc(n3cc[nH+]c3)c2n1)n4cc[nH+]c4,362.0,444.0,MeOH,32.613,0.762
BTDImH,s1nc2c(ccc(n3cc[nH+]c3)c2n1)n4cc[nH+]c4,370.0,525.0,EtOH,24.852,0.654
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,376.0,526.0,DMSO,46.826,0.444
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,350.0,474.0,DMF,36.7,0.386
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,333.0,453.0,H2O,78.3553,1.0
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,336.0,453.0,MeOH,32.613,0.762
BTDImMe,C[n+]1ccn(c1)c2ccc(n3cc[n+](C)c3)c4nsnc24,336.0,453.0,EtOH,24.852,0.654
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,356.0,450.0,DMSO,46.826,0.444
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,347.0,401.0,DMF,36.7,0.386
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,333.0,450.0,H2O,78.3553,1.0
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,339.0,450.0,MeOH,32.613,0.762
BTDImAc,OCC(=O)N1CCN(C1)c2ccc(N3CCN(C3)CC(O)=O)c4nsnc24,338.0,450.0,EtOH,24.852,0.654
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,382.0,542.0,DMSO,46.826,0.444
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,383.0,531.0,DMF,36.7,0.386
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,362.0,430.0,H2O,78.3553,1.0
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,371.0,473.0,MeOH,32.613,0.762
BTDIm,C1=CN(C=N1)C2=CC=C(C3=NSN=C23)N4C=CN=C4,376.0,503.0,EtOH,24.852,0.654
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,391.0,611.0,TOL,2.3741,0.099
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,627.0,AcOEt,6.02,0.228
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,637.0,THF,7.58,0.605
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,388.0,651.0,CFM,4.81,0.259
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,376.0,659.0,DCM,8.93,0.309
T1,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C5=NSN=C45)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8,389.0,690.0,DMF,36.7,0.386
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,621.0,TOL,2.3741,0.099
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,399.0,647.0,AcOEt,6.02,0.228
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,403.0,656.0,THF,7.58,0.605
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,661.0,CFM,4.81,0.259
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,405.0,700.0,DCM,8.93,0.309
T2,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=CC6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(C=C9)C=CC1=CC=C(C2=NSN=C12)C=CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C=CC1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,404.0,752.0,DMF,36.7,0.386
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,408.0,620.0,TOL,2.3741,0.099
TP2,CCCCCCCCN1C2=C(C=C(C=C2)C=CC3=CC=C(C=C3)N(C4=CC=C(C=C4)C=CC5=CC6=C(C=C5)N(C7=CC=CC=C7S6)CCCCCCCC)C8=CC=C(C=C8)C=CC9=CC=C(C2=NSN=C92)C=CC2=CC=C(C=C2)N(C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)C=CC2=CC=C(C=C2)N(C2=CC=CC=C2)C2=CC=CC=C2)SC2=CC=CC=C21,403.0,646.0,AcOEt,6.02,0.228
